GeneID	Base mean	Log2(FC)	StdErr	Wald-Stats	P-value	P-Adj
gene-J2S48_RS14420	4453.69568903315	3.61033571209867	0.321329329465466	11.235624579009	2.72559460851802e-29	4.31758964122059e-27
gene-J2S48_RS20105	409.416251069432	4.04316896215758	0.365818806480852	11.0523813716756	2.13475775257677e-28	3.2346220729261e-26
gene-J2S48_RS20885	1562.94902764736	3.96117939523843	0.359164177743804	11.0288821678202	2.77290107491787e-28	4.02648343587033e-26
gene-J2S48_RS16725	409.093361732477	4.3016033733171	0.394340584319135	10.9083455884821	1.05152553499365e-27	1.46582659578114e-25
gene-J2S48_RS12905	581.993657928871	3.93536690950634	0.364461258147127	10.7977647048502	3.52685076892974e-27	4.72733651143083e-25
MSTRG.3238.1	569.508376210235	3.65289331688026	0.341524155714871	10.6958563713718	1.06431883031657e-26	1.37375967542713e-24
gene-J2S48_RS20880	578.188307261812	4.42021235801562	0.414621155307482	10.6608461759208	1.5517908410404e-26	1.93142538608064e-24
MSTRG.1653.1	44102.7124059468	6.00582454443738	0.56997364543492	10.5370214790451	5.83166752798895e-26	7.00805563277293e-24
gene-J2S48_RS04025	487.947150945416	4.23075180829945	0.403176504323146	10.4935475230682	9.24891969833042e-26	1.07441617162272e-23
gene-J2S48_RS16555	20112.7909837926	4.71206749355053	0.44985118615308	10.4747250615164	1.12865083687458e-25	1.2688219891961e-23
gene-J2S48_RS25950	1235.96333796627	-3.09936758069897	0.296665368022351	-10.4473521845848	1.50673125253243e-25	1.6409245047111e-23
gene-J2S48_RS17270	5372.05714065597	-3.45157091359202	0.331318613117281	-10.4176788654196	2.05917255609885e-25	2.17461101757712e-23
gene-J2S48_RS25930	569.997271127001	-3.92195959522018	0.378941144169847	-10.3497855948371	4.19424021576556e-25	4.2990962211597e-23
gene-J2S48_RS25910	859.865357330389	4.15786207697342	0.402600723376251	10.3275077155976	5.29176369430024e-25	5.26908470703895e-23
MSTRG.489.1	5095.07440322756	3.40003429074963	0.331504180183755	10.2563843655455	1.10777120132457e-24	1.0723840657267e-22
gene-J2S48_RS16800	449.635831231964	-4.18529983357453	0.408655989625964	-10.2416211674892	1.29055502135067e-24	1.21556331065057e-22
MSTRG.72.1	3242.2754154019	-2.61314616502686	0.255585610697693	-10.2241521261449	1.54574669546805e-24	1.41761242992267e-22
gene-J2S48_RS13780	893.599249782914	-3.31618273228254	0.324918430112206	-10.2062007721056	1.86005952616021e-24	1.66213011504316e-22
gene-J2S48_RS25310	2136.49699861463	-2.92260328943211	0.287883538736611	-10.152033361331	3.24530150200127e-24	2.82746893361861e-22
rna-J2S48_RS06045	663.49540479863	3.73314524296713	0.371000007275362	10.0623859023171	8.10108426136998e-24	6.88592162216448e-22
gene-J2S48_RS06720	411.672488917488	4.72095311921196	0.47209378727507	10.0000322954075	1.5234736846807e-23	1.2641204264553e-21
gene-J2S48_RS12825	1547.93018986157	3.84369162374193	0.385830192147741	9.96213282933057	2.23221689663449e-23	1.76801724653891e-21
rna-J2S48_RS15025	361.093008318592	5.07332396780789	0.509248496885711	9.96237396641049	2.22680808216622e-23	1.76801724653891e-21
gene-J2S48_RS13770	59062.2381504752	4.35630548704083	0.437979540018534	9.94636755601982	2.61556464514643e-23	2.02560950851896e-21
MSTRG.1300.1	2742.33029155886	3.69464328056134	0.371600438910468	9.94251592219329	2.71872276680336e-23	2.05972800919776e-21
gene-J2S48_RS14920	19701.9522323626	2.76574980174112	0.278462773837668	9.93220660566081	3.01508195387628e-23	2.23565119345933e-21
gene-J2S48_RS17750	1881.47405043862	-2.96087352768691	0.299833970678413	-9.87504358157801	5.3409738520334e-23	3.87776955715341e-21
gene-J2S48_RS13785	2683.3917807388	-3.11526424208703	0.317005121187668	-9.82717323434907	8.59987814898233e-23	6.11644394881702e-21
gene-J2S48_RS00400	1144.01121804615	-3.3844524716033	0.345739434455232	-9.7890264584254	1.25498383835206e-22	8.74723735331385e-21
gene-J2S48_RS21140	612.712877610525	-3.57771111287862	0.368029883748725	-9.72125164520969	2.44754176874348e-22	1.67248687530804e-20
gene-J2S48_RS07055	359.503403375629	3.20320145760474	0.331783597171651	9.65449011015315	4.7049398056684e-22	3.1532144659143e-20
gene-J2S48_RS13310	573.722851804071	-3.73182330692818	0.389663879080112	-9.57703166056338	9.98740509403653e-22	6.56718995334289e-20
gene-J2S48_RS17385	2621.57739121305	4.11599363250093	0.430907993934393	9.55190827378245	1.27328963676347e-21	8.21743404466794e-20
rna-J2S48_RS10600	112.43163508003	6.48625147855598	0.682699854257704	9.50088305732605	2.08117867709633e-21	1.31871048903286e-19
gene-J2S48_RS25900	1404.90659698855	4.80524977015331	0.507300365392558	9.4721985197762	2.74014656253375e-21	1.70525192329109e-19
gene-J2S48_RS06970	317.450787143679	3.48345366365475	0.373080594844624	9.33700040096029	9.91018920922783e-21	5.98352807158211e-19
gene-J2S48_RS07235	1150.06569932109	3.15056512719792	0.337446488449201	9.33648811009097	9.95823897135617e-21	5.98352807158211e-19
gene-J2S48_RS05740	258.398188252777	-4.63089883219613	0.496215246056427	-9.33243963985244	1.03461537199343e-20	6.11124503626626e-19
gene-J2S48_RS02165	348.820488269712	3.36751655415728	0.361007575595237	9.32810495348982	1.07780656332772e-20	6.26025978866181e-19
MSTRG.2978.1	150.008869178869	4.00118891678726	0.432262976508162	9.25637663699312	2.11487298685978e-20	1.20825120642727e-18
